Card Name,List Name,Card Description,Labels,Due Date,Members
"[SETUP] Initialiser Node.js + Express 5","✅ TERMINÉ","Créer le projet avec Express 5, Sequelize 6, et la structure MVC complète (controllers/, models/, routes/, services/, middlewares/).","Backend,Setup",,
"[SETUP] Configurer PostgreSQL + Sequelize","✅ TERMINÉ","Fichier config/database.js, pool de connexions, dialecte postgres, logging désactivé en prod.","Backend,Setup",,
"[SETUP] Créer le .env.example","✅ TERMINÉ","Template complet avec toutes les variables : JWT_SECRET, DB_*, ENCRYPTION_KEY, SMTP_*, MTN_*, AIRTEL_*, VAPID_*, LICENSE_*, MONITOR_API_KEY.","Backend,Setup",,
"[SETUP] Frontend React + Vite 5 + Tailwind","✅ TERMINÉ","SPA React 19 avec Vite 5.4.21 (downgrade pour stabilité Windows), Tailwind CSS v3, proxy API vers :3000.","Frontend,Setup",,
"[MODEL] Organization","✅ TERMINÉ","UUID, name, slug (unique indexé), status ENUM (active/suspended/trial), settings JSONB, timestamps.","Backend,Database",,
"[MODEL] User","✅ TERMINÉ","UUID, email (unique), password (bcrypt 12 rounds), role ENUM (superadmin/admin/manager/staff/accountant/user), firstName, lastName, phone, referral_code, organizationId (FK).","Backend,Database",,
"[MODEL] Plan","✅ TERMINÉ","UUID, name, price, durationDays, description, isActive, organizationId (FK). Plans d'abonnement par organisation.","Backend,Database",,
"[MODEL] Subscription","✅ TERMINÉ","UUID, userId, planId, status (active/grace_period/expired), startDate, endDate. Lazy Evaluation du statut.","Backend,Database",,
"[MODEL] Transaction","✅ TERMINÉ","UUID, amount, currency (XAF), status (success/pending/failed), method (mtn_momo/airtel_money), provider, providerRef, webhookData JSONB, userId, subscriptionId.","Backend,Database",,
"[MODEL] Ticket","✅ TERMINÉ","UUID, subject, message, status (open/in_progress/resolved/closed), priority (low/medium/high/critical), responses JSONB, userId, assignedTo, organizationId.","Backend,Database",,
"[MODEL] AuditLog + AdminLog","✅ TERMINÉ","Logs de communication (email/SMS/push) et logs d'actions admin (changement rôle, suspension, impersonation).","Backend,Database",,
"[MODEL] Announcement + PushSubscription","✅ TERMINÉ","Annonces globales (titre, message, type, targetRole) et abonnements push navigateur (endpoint, keys JSONB).","Backend,Database",,
"[SEC] Helmet — Headers HTTP","✅ TERMINÉ","CSP strict (default-src 'self'), HSTS 1 an, X-Frame DENY, X-Content-Type nosniff, COEP require-corp, CORP same-origin.","Backend,Sécurité",,
"[SEC] Rate Limiting","✅ TERMINÉ","Login : 10 req / 15min. API générale : 100 req / 15min. Réponse 429 + Retry-After header.","Backend,Sécurité",,
"[SEC] Anti-Scanner (scannerProtection)","✅ TERMINÉ","Traque les 404 par IP. 5 requêtes 404 → ban temporaire. Protège contre nmap, nikto, dirb, etc.","Backend,Sécurité",,
"[SEC] Validateur d'environnement (envValidator)","✅ TERMINÉ","CRASH au démarrage si : JWT_SECRET < 32 chars, valeur par défaut détectée (changeme, secret, etc.), DB_PASS manquant, ENCRYPTION_KEY absent.","Backend,Sécurité",,
"[SEC] Chiffrement AES-256-GCM","✅ TERMINÉ","Service encryptionService.js : IV unique par opération, AuthTag pour intégrité. Utilisé pour les numéros MoMo stockés en BDD.","Backend,Sécurité",,
"[SEC] Upload sécurisé (Magic Bytes)","✅ TERMINÉ","Vérification signature binaire réelle du fichier (pas juste l'extension). Max 5MB. Types : JPEG, PNG, PDF. Nom sanitisé en UUID.","Backend,Sécurité",,
"[SEC] Webhook HMAC Validation","✅ TERMINÉ","Chaque webhook MTN/Airtel vérifie la signature HMAC-SHA256 du body avec le secret du provider. Rejet 401 si invalide.","Backend,Sécurité",,
